id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5632,Arweave,AR,arweave,134,2020-05-27T00:00:00.000Z,"['distributed-computing', 'filesharing', 'storage', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'web3', 'egirl-capital-portfolio', 'depin']",66000000.0,65454185.0,65454185.0,False,,47,,,,2024-04-29T04:44:00.000Z,36.3371876205625,131691977.02196915,31.7258,2.34294325,2.71691937,11.49109482,-7.47710616,26.7587749,310.84691151,2378421000.896008,0.1023,2398254382.96,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
328,Monero,XMR,monero,283,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18429810.26026569,18429810.26026569,True,,48,,,,2024-04-29T04:45:00.000Z,125.78067266512736,51641925.82338077,17.0907,0.51312838,1.3141499,4.97028927,-5.65120009,-6.68639411,-24.82042258,2318113931.6268845,0.0997,2318113931.63,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
2416,Theta Network,THETA,theta-network,196,2018-01-17T00:00:00.000Z,"['media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'content-creation', 'defi', 'entertainment', 'sharing-economy', 'smart-contracts', 'video', 'metaverse', 'huobi-capital-portfolio', 'web3', 'layer-1', 'depin']",1000000000.0,1000000000.0,1000000000.0,False,,49,,,,2024-04-29T04:45:00.000Z,2.304356773961474,90712565.70280376,139.3112,3.27527504,-0.95775644,0.24849399,-19.16646485,21.27354416,122.69146506,2304356773.961474,0.0991,2304356773.96,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
3513,Fantom,FTM,fantom,667,2018-10-29T00:00:00.000Z,"['platform', 'enterprise-solutions', 'defi', 'research', 'scaling', 'smart-contracts', 'fantom-ecosystem', 'injective-ecosystem', 'layer-1']",3175000000.0,2803634835.5265927,3175000000.0,False,,50,,,,2024-04-29T04:44:00.000Z,0.7222285152471275,104191059.51144375,-18.3294,1.20863178,0.47805698,-6.5909762,-25.5803067,52.56743536,89.46651066,2024865024.5574956,0.0871,2293075535.91,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
8000,Lido DAO,LDO,lido-dao,389,2020-12-15T00:00:00.000Z,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'liquid-staking-derivatives', 'optimism-ecosystem', 'standard-crypto-portfolio', 'egirl-capital-portfolio']",1000000000.0,892448655.1451036,1000000000.0,False,,51,892448652.2951264,1921565362.6141891,0.06249699,2024-04-29T04:44:00.000Z,2.1531382871972125,69386029.40897524,21.6638,1.69448095,2.27289212,0.61649211,-23.36644616,-38.6417772,-29.75588725,1921565368.7505841,0.0827,2153138287.2,30746527431.72925,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2024-04-29 12:46:40.516578
23254,Core,CORE,core-dao,60,2023-02-08T12:26:11.000Z,[],2100000000.0,884542100.3373721,2100000000.0,False,,52,,,,2024-04-29T04:44:00.000Z,2.1363378936444843,90640559.43821599,13.4043,0.62124108,-6.83796728,-12.56248886,82.13686776,217.65463174,334.38361041,1889680807.4746096,0.0813,4486309576.65,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
3773,Fetch.ai,FET,fetch,303,2019-03-02T00:00:00.000Z,"['cosmos-ecosystem', 'ai-big-data', 'collectibles-nfts', 'iot', 'binance-launchpad', 'web3', 'injective-ecosystem', 'generative-ai', 'dwf-labs-portfolio']",,848348577.788531,1152997575.0,False,,53,,,,2024-04-29T04:44:00.000Z,2.172037899531432,142763935.27289066,5.6603,1.41792885,-2.59197245,-10.94096309,-28.38212739,67.34910428,249.41269052,1842645262.9702785,0.0792,2504354430.97,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
22861,Celestia,TIA,celestia,187,2023-10-31T16:51:41.000Z,"['platform', 'modular-blockchain', 'egirl-capital-portfolio', 'data-availability', 'cmc-crypto-awards-2024']",,180495582.54438,1039452054.79438,False,,54,141043527.75,1377850870.8003464,,2024-04-29T04:45:00.000Z,9.768976235780137,65172534.78393016,26.5709,0.7026563,-5.99616488,-14.70599449,-33.86454101,-42.62840015,-44.47357457,1763257056.5393405,0.0759,10154382421.52,,2024-04-29T04:45:00.000Z,12220.0,Osmosis,OSMO,osmosis,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,2024-04-29 12:46:40.516578
23149,Sei,SEI,sei,176,2023-08-14T07:35:00.000Z,"['coinbase-ventures-portfolio', 'multicoin-capital-portfolio', 'layer-1', 'jump-crypto', 'sei-ecosystem', 'parallel-evm']",,2800000000.0,10000000000.0,False,,55,,,,2024-04-29T04:45:00.000Z,0.615081593725624,120650007.48519589,-6.6699,3.57928605,0.88378231,-2.40926813,-25.93239041,-27.17289975,-11.39201587,1722228462.4317472,0.0741,6150815937.26,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
4157,THORChain,RUNE,thorchain,179,2019-07-23T00:00:00.000Z,"['cosmos-ecosystem', 'decentralized-exchange-dex-token', 'defi', 'dex', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']",,335391464.0,414174677.0,False,,56,256607917.0,1303914288.6783683,5.29278081,2024-04-29T04:45:00.000Z,5.081348634611177,175711996.65519613,-19.2367,0.29350886,-3.21669214,-12.59059851,-41.98849469,-15.23219625,10.92492461,1704240957.6566439,0.0733,2104565929.46,321993488.67853,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
11092,Bitget Token,BGB,bitget-token-new,16,2021-07-29T00:00:00.000Z,['centralized-exchange'],2000000000.0,1400000000.0,2000000000.0,False,,57,1400000000.0,1616761874.788882,,2024-04-29T04:44:00.000Z,1.1548299105634872,31647750.11244724,-30.9347,-0.34019832,-0.57183555,-9.52117337,10.7047856,21.54292536,94.17508844,1616761874.788882,0.0696,2309659821.13,,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0x19de6b897ed14a376dda0fe53a5420d2ac828a28,2024-04-29 12:46:40.516578
10804,FLOKI,FLOKI,floki-inu,458,2021-07-09T00:00:00.000Z,"['gaming', 'memes', 'metaverse', 'doggone-doggerel', 'play-to-earn', 'bnb-chain', 'dwf-labs-portfolio', 'paal-ecosystem', 'tokenfi-launchpad']",,9569569339806.076,9708718659950.736,False,,58,9317621738535.4,1566973571.717373,,2024-04-29T04:45:00.000Z,0.00016817312568471782,115982867.75202624,-11.9145,0.53691761,-4.78146065,-4.59175544,-29.34371605,178.80258584,481.23876294,1609344387.3318293,0.0692,1632745563.44,,2024-04-29T04:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,2024-04-29 12:46:40.516578
23095,Bonk,BONK,bonk1,358,2022-12-30T06:58:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel', 'dwf-labs-portfolio', 'cmc-crypto-awards-2024']",93526170019114.78,65191332386576.0,93526170019114.78,False,,59,64971296213932.7,1587759846.2965105,,2024-04-29T04:44:00.000Z,2.4437866239707636e-05,310380621.2425096,-16.565,1.24502448,-5.85518111,17.16330524,-9.39013319,12.1398277,104.44613286,1593137060.8514647,0.0685,2285580032.84,,2024-04-29T04:44:00.000Z,5426.0,Solana,SOL,solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,2024-04-29 12:46:40.516578
